"id"	"acc"	"source"
"RF00023"	""	"rfam"
"RF00010"	""	"rfam"
"RF00028"	""	"rfam"
"RF01788"	""	"rfam"
"RF00009"	""	"rfam"
"RF00030"	""	"rfam"
"RF01849"	""	"rfam"
"RF02914"	""	"rfam"
"RF00011"	""	"rfam"
"RF01786"	""	"rfam"
"RF02996"	""	"rfam"
"RF01725"	""	"rfam"
"RF00373"	""	"rfam"
"RF03072"	""	"rfam"
"RF03081"	""	"rfam"
"RF01735"	""	"rfam"
"RF02924"	""	"rfam"
"RF00507"	""	"rfam"
"RF00165"	""	"rfam"
"RF03086"	""	"rfam"
"RF00024"	""	"rfam"
"RF01689"	""	"rfam"
"RF01704"	""	"rfam"
"RF02958"	""	"rfam"
"RF03003"	""	"rfam"
"RF03044"	""	"rfam"
"RF01850"	""	"rfam"
"RF02679"	""	"rfam"
"RF02932"	""	"rfam"
"RF03069"	""	"rfam"
"RF02955"	""	"rfam"
"RF03087"	""	"rfam"
"RF00233"	""	"rfam"
"RF01761"	""	"rfam"
"RF02925"	""	"rfam"
"RF02685"	""	"rfam"
"RF01745"	""	"rfam"
"RF03046"	""	"rfam"
"RF01072"	""	"rfam"
"RF02684"	""	"rfam"
"RF02960"	""	"rfam"
"RF02986"	""	"rfam"
"RF03026"	""	"rfam"
"RF00458"	""	"rfam"
"RF02920"	""	"rfam"
"RF01074"	""	"rfam"
"RF03016"	""	"rfam"
"RF03037"	""	"rfam"
"RF03079"	""	"rfam"
"RF03065"	""	"rfam"
"RF02933"	""	"rfam"
"RF03100"	""	"rfam"
"RF01768"	""	"rfam"
"RF02991"	""	"rfam"
"RF02997"	""	"rfam"
"RF03084"	""	"rfam"
"RF02988"	""	"rfam"
"RF03041"	""	"rfam"
